11,50,6,54,12,14,88,73,85,23,24,8,87,96,44,83,91,98,3,97,56,5,45,78,33,67,39,53,40,75,42,63,99,87,1,54,31,52,87,93,72,82,88,12,35,73,47,5,75,29,66,4,10,22,31,5,5,27,20,44,75,35,32,9,81,61,9,99,94,90,52,39,10,9,24,74,17,32,43,60,20,33,77,11,9,37,53,76,56,96,48,3,31,42,18,37,50,78,31,74
64,47,10,84,76,27,93,1,98,57,87,72,83,60,24,41,57,20,0,44,7,32,43,98,41,48,7,68,90,87,23,39,1,68,95,72,22,92,34,81,43,51,78,98,8,76,20,70,17,77,79,29,77,87,66,32,3,12,43,28,19,25,10,10,34,48,70,15,65,52,18,65,86,18,0,55,54,45,89,65,28,36,50,12,7,94,61,14,2,63,68,10,49,5,62,18,41,67,64,59
5,4,5,65,59,14,43,58,87,10,77,58,22,78,0,82,74,97,3,39,87,56,12,1,83,7,15,80,56,81,14,86,81,30,59,23,31,85,53,92,51,2,26,91,85,10,88,71,5,79,44,43,64,24,72,49,91,3,81,51,99,62,2,5,96,90,76,92,18,76,51,88,44,10,88,85,29,21,16,72,19,44,74,77,37,71,22,57,58,10,31,27,3,2,93,88,0,21,95,94
34,95,52,29,27,55,99,53,35,87,19,70,87,9,31,54,88,24,68,24,68,19,34,8,45,24,84,41,17,0,85,8,26,21,38,23,91,45,49,81,72,69,22,71,90,61,39,94,70,38,99,75,53,70,26,14,61,43,84,3,71,57,36,34,1,11,43,66,70,7,62,43,75,87,52,98,97,63,18,83,84,90,70,78,0,10,55,56,94,23,62,48,61,45,10,14,32,87,69,79
17,73,24,62,75,56,99,65,17,28,17,98,25,0,19,80,86,58,33,91,55,86,71,46,45,14,81,29,76,38,65,9,93,38,66,10,66,7,2,43,10,89,39,66,6,63,23,60,26,29,28,74,53,77,23,30,1,77,17,61,74,70,89,79,62,7,4,86,34,8,14,78,55,89,81,66,47,5,40,82,90,21,3,47,10,90,56,16,15,35,8,88,90,41,69,40,0,59,3,98
58,37,26,17,14,49,19,63,95,57,82,96,37,35,70,53,67,41,69,71,51,88,71,99,0,26,88,13,20,41,66,88,1,41,23,53,94,85,32,60,71,92,20,57,52,12,50,55,71,15,73,58,90,32,46,70,65,27,17,88,61,5,42,54,91,94,95,95,11,16,58,81,9,8,0,58,67,13,46,87,75,32,42,5,67,7,98,69,94,53,88,67,67,44,99,65,49,66,66,57
16,55,43,54,56,91,49,81,31,87,2,52,80,29,12,28,63,37,86,83,96,25,0,58,28,91,14,65,9,35,9,1,47,88,71,20,89,87,48,76,58,16,37,6,50,35,86,37,31,70,1,12,79,82,61,91,54,85,26,65,76,84,71,96,78,1,4,92,58,92,39,75,88,10,25,79,87,94,8,92,4,77,33,39,33,96,21,64,27,79,66,4,60,83,99,73,44,41,28,48
30,94,78,38,30,25,23,68,56,81,3,59,76,34,60,99,50,32,62,81,79,40,65,78,25,35,15,5,11,52,35,46,65,59,61,10,98,94,8,7,73,53,8,45,76,6,27,26,22,99,22,11,78,46,68,90,29,99,13,95,10,18,56,4,46,57,94,16,72,50,1,56,24,54,8,26,32,19,2,19,8,88,82,12,29,23,67,19,91,70,80,98,81,12,97,54,96,3,98,19
12,10,53,72,97,66,87,24,37,42,58,9,97,93,87,22,36,44,75,23,89,74,25,2,69,2,74,11,57,53,29,28,20,82,6,97,34,9,14,62,35,43,81,48,11,71,1,87,25,74,18,51,28,75,29,38,85,51,3,95,92,75,66,84,12,30,88,14,86,89,87,26,30,12,88,46,92,76,90,98,1,86,86,82,34,77,99,45,53,68,12,83,6,19,70,59,76,97,35,81
82,86,1,35,87,92,21,15,87,83,45,8,61,5,93,5,89,83,49,35,30,42,61,17,77,4,20,11,42,28,69,94,41,8,15,14,85,50,95,42,56,83,58,69,23,3,21,0,25,64,70,93,48,0,50,39,25,83,57,83,71,10,73,58,13,50,67,52,89,79,20,39,87,6,79,46,83,91,94,74,82,20,85,78,57,76,46,40,58,75,89,1,92,12,71,46,10,99,56,72
